Document Type,Authors,Article Title,Journal/Source Title,Publication Year,Language,Publisher,Country,Volume,Issue,Start Page,End Page,Pages,DOI,Insect Orders
Journal Article,"Anthony, M.",Contribution to the knowledge of cecidia of Singapore,"Garden's Bulletin, Singapore",1974,English,,Singapore,27,17,17,65,,https://biostor.org/reference/177725,Hemiptera
Journal Article,"Anthony, M. ",Development of the gall of Gallacoccus anthonyae on the leaf of Shorea pauciflora dipterocarpaceae  ,Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences Serie D Sciences Naturelles,1972,English,,Singapore,275,20,2263,2266,,,Hemiptera
Journal Article,"Anthony, M. ",Morphological and anatomical comparison of normal and cecidial shoots in Shorea curtisii Dyer ex King,Marcellia,1977,English,,Singapore,40,,181,192,,,Hemiptera
Journal Article,"Anuwongse, B.",A species of wood-destroying beetle recently found in Thailand,Vanasarn,1972,English,,Thailand,30,,205,215,,,Coleoptera
Proceedings Paper,"Asmaliyah, A.; Hadi, E.E.W.; Irianto, S.B.; Imanullah, A.; Bastoni, B.; Siahaan, H.; Purwanto, P.",Bagworm infestation on Shorea balangeran in the degraded peatland restoration plot,IOP Conf. Series: Earth and Environmental Science,2020,English,IOP PUBLISHING LTD,Indonesia,533,,,,12041,http://dx.doi.org/10.1088/1755-1315/533/1/012041,Lepidoptera
Journal Article,"Basset, Y; Ctvrtecka, R; Dahl, C; Miller, SE; Quicke, DLJ; Segar, ST; Barrios, H; Beaver, RA; Brown, JW; Bunyavejchewin, S; Gripenberg, S; Knízek, M; Kongnoo, P; Lewis, OT; Pongpattananurak, N; Pramual, P; Sakchoowong, W; Schutze, M",Insect assemblages attacking seeds and fruits in a rainforest in Thailand,ENTOMOLOGICAL SCIENCE,2019,English,WILEY,Thailand,22,2,137,150,,http://dx.doi.org/10.1111/ens.12346,"Coleoptera, Lepidoptera , Diptera"
Journal Article,"Beardsley, J. W. ",A New Genus of Gall-Inhabiting Eriococcidae from Singapore (Homoptera: Coccoidea)., The Proceedings of the Hawaiian Entomological Society,1971,English,,Singapore,21,1,31,39,,,Hemiptera
Journal Article,"Blüthgen, N; Metzner, A; Ruf, D",Food plant selection by stick insects (Phasmida) in a Bornean rain forest,JOURNAL OF TROPICAL ECOLOGY,2006,English,CAMBRIDGE UNIV PRESS,Malaysia,22,,35,40,,http://dx.doi.org/10.1017/S0266467405002749,Phasmatodea
Journal Article,"Brown, JW; Basset, Y; Panmeng, M; Putnaul, S; Miller, SE",HOST RECORDS FOR TORTRICIDAE (LEPIDOPTERA) REARED FROM SEEDS AND FRUITS IN A THAILAND RAINFOREST,PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON,2019,English,ENTOMOL SOC WASHINGTON,Thailand,121,4,544,556,,http://dx.doi.org/10.4289/0013-8797.121.4.544,Lepidoptera
Journal Article,"Browne, F.G.",Ambrosia beetle attack on logs of Tembusu (Fagraea fragrans) and Meranti Tembaga (Shorea leprosula),Malayan Forester,1950,English,,Malaysia,13,,167,168,,,Coleoptera
Journal Article,"Budiman, I., Bastoni, Sari, E. N. N., Hadi, E. E., Asmaliyah, Siahaan, H., Januar, R., & Hapsari, R. D. ",Progress of paludiculture projects in supporting peatland ecosystem restoration in Indonesia. ,"Global Ecology and Conservation,",2020,English,,Indonesia,23,,,,e01084,https://doi.org/10.1016/j.gecco.2020.e01084,Lepidoptera
Journal Article,"Burckhardt, D; Vu, NT",Trioza hopeae sp nov (Hemiptera: Triozidae): A pest on Hopea odorata (Malvales: Dipterocarpaceae) in Vietnam,ENTOMOLOGICAL SCIENCE,2012,English,WILEY-BLACKWELL,Vietnam,15,1,74,80,,http://dx.doi.org/10.1111/j.1479-8298.2011.00474.x,Hemiptera
Report,"Burgess, P.F. ",Timbers of Sabah,Sabah Forest Record No. 6.,1966,English,Sabah Forest Department,Malaysia,,,,,501,,Coleoptera
Report,"Chey, V.K. ",A preliminary report on insects infesting the fruits of some forest-trees,"FRC Publication, Sabah",1986,English,,Malaysia,27,,,48,,,"Coleoptera, Lepidoptera"
Report,"Chey, V.K. ",Forest pest insects in Sabah,Sabah Forest Record No. 15.,1996,English,Sabah Forest Department,Malaysia,,,,,111,,Blattodea
Journal Article,"Chey, V.K. ",Dipterocarp seed predators,Malaysian Naturalist,2002,English,,Malaysia,55,,46,49,,,"Coleoptera, Lepidoptera"
Journal Article,"Chong, KY; Chong, R; Tan, LWA; Yee, ATK; Chua, MAH; Wong, KM; Tan, HTW",Seed production and survival of four dipterocarp species in degraded forests in Singapore,PLANT ECOLOGY & DIVERSITY,2016,English,TAYLOR & FRANCIS LTD,Singapore,9,5-6,483,490,,http://dx.doi.org/10.1080/17550874.2016.1266404,Lepidoptera
Journal Article,"Chui, SX; Wahab, RBHA; Leonhardt, SD",Stingless bee (Apidae: Meliponini) foraging and predation at trunk resin sources: Rare observations captured with microcontroller-based camera traps in a lowland dipterocarp forest,INSECTES SOCIAUX,2023,English,SPRINGER BASEL AG,Brunei,70,1,29,41,,http://dx.doi.org/10.1007/s00040-022-00889-x,Hymenoptera
Journal Article,"Chung, A.Y.",A Note on the Defoliation of Dipterocarpus applanatus by Exopholis hypoleuca,MALAYAN NATURE JOURNAL,1998,English,,Malaysia,52,3 & 4,177,179,,,Coleoptera
Journal Article,"Chung, A.Y.C., Maycook, C.R., Khoo, E., Chey, V.K. & Kendrick, R.C.",New records of florivory on dipterocarp flowers,MALAYAN NATURE JOURNAL,2011,English,,Malaysia,63,3,557,590,,,Lepidoptera
Journal Article,"Chung, AYC; Maycock, CR; Khoo, E; Hastie, A; Nilus, R; Majapun, R; Kimjus, K; Chey, VK",NEW RECORDS OF INSECTS ASSOCIATED WITH BORNEAN ENDEMIC DIPTEROCARP SEEDLINGS,JOURNAL OF TROPICAL FOREST SCIENCE,2013,English,FOREST RESEARCH INST MALAYSIA,Malaysia,25,1,5,11,,,"Lepidoptera, Coleoptera"
Proceedings Paper,"Curran, L.M. and Leighton, M.","Why mast? The role of generalised insect and vertebrate seed predators on the reproductive biology of Dipterocarpaceae in the Gunung Palung Nature Reserve, West Kalimantan",In: Proceedings of the 4th Round Table Conference on Dipterocarps ,1991,English,"BIOTROP Special Publication no. 41. SEAMEO-BIOTROP, Bogor, Indonesia",Indonesia,,,541,542,,,"Coleoptera, Lepidoptera"
Journal Article,"Daljeet-Singh, K.",Seed pests of some dipterocarps,Malaysian Forester,1974,English,,Malaysia,37,,24,26,,,"Coleoptera, Lepidoptera"
Journal Article,"Daljeet-Singh, K.",A preliminary survey of insect attack on seedlings and saplings in Bukit Belata forest reserve.,Malaysian Forester,1975,English,,Malaysia,38,,14,16,,,Coleoptera
Journal Article,De Mesa A.,Forest host plants of injurious insects in the Philippines.,Makiling Echo,1934,English,,Philippines,13,4,245-250,,,,Coleoptera
Journal Article,De Mesa A.,Forest host plants of injurious insects in the Philippines.,Makiling Echo,1935,English,,Philippines,14,2,93,99,,,Coleoptera
Journal Article,"Fougerousse, M.",Pin-holes and shot-holes in Meranti and Lauan,Bois et Forets des Tropiques,1974,English,,Malaysia,158,,63,66,,,Coleoptera
Journal Article,"Green, E. E.",On some new genera and species of Coccidae,Bulletin of Entomological Research,1926,English,,Myanmar,17,,55,65,,,Hemiptera
Journal Article,"Haneda, N.F.; Furqan, M; Suheri, M.","Stem borer insects on Hopea odorata in Bogor, West Java, Indonesia",Biodiversitas,2020,English,,Indonesia,21,11,5308,5316,,,Coleoptera
Journal Article,"Hodgson, C.J., & Williams, D.J.",A redescription of the monotypic felt scale insect genus Pedroniopsis Green (Hemiptera: Coccomorpha: Eriococcidae) from India and Burma,Zootaxa,2016,English,,Myanmar,4137,1,146,150,,,Hemiptera
Journal Article,"Hosaka, T; Takagi, S; Okuda, T","A preliminary survey of insect galls on dipterocarps in a lowland rainforest at Pasoh, Peninsular Malaysia",TROPICS,2009,English,JAPAN SOC TROPICAL ECOLOGY,Malaysia,18,3,93,102,,http://dx.doi.org/10.3759/tropics.18.93,Hemiptera
Journal Article,"Hosaka, T; Yumoto, T; Chen, YY; Sun, IF; Wright, SJ; Noor, NSM",Abundance of insect seed predators and intensity of seed predation on Shorea (Dipterocarpaceae) in two consecutive masting events in Peninsular Malaysia,Journal of Tropical Ecology,2011,English,CAMBRIDGE UNIVERSITY PRESS,Malaysia,27,,651,655,,http://dx.doi.org/10.1017/S0266467411000393,Coleoptera
Journal Article,"Hosaka, T; Yumoto, T; Chen, YY; Sun, IF; Wright, SJ; Numata, S; Supardi, NMN",Responses of pre-dispersal seed predators to sequential flowering of Dipterocarps in Malaysia,BIOTROPICA,2017,English,WILEY,Malaysia,49,2,177,185,,http://dx.doi.org/10.1111/btp.12371,Coleoptera
Journal Article,"Hosaka, T; Yumoto, T; Kojima, H; Komai, F; Noor, NSM",Community structure of pre-dispersal seed predatory insects on eleven Shorea (Dipterocarpaceae) species,JOURNAL OF TROPICAL ECOLOGY,2009,English,CAMBRIDGE UNIV PRESS,Malaysia,25,,625,636,,http://dx.doi.org/10.1017/S0266467409990265,"Coleoptera, Lepidoptera, Orthoptera, Hymenoptera, Diptera"
Journal Article,"Iku, A; Itioka, T; Kawakita, A; Goto, H; Ueda, A; Shimizu-kaya, U; Meleng, P","High degree of polyphagy in a seed-eating bark beetle, Coccotrypes gedeanus (Coleoptera: Curculionidae: Scolytinae), during a community-wide fruiting event in a Bornean tropical rainforest",TROPICS,2018,English,JAPAN SOC TROPICAL ECOLOGY,Malaysia,27,3,59,66,,http://dx.doi.org/10.3759/tropics.MS18-07,Coleoptera
Journal Article,"Iku, A; Itioka, T; Kishimoto-Yamada, K; Shimizu-kaya, U; Mohammad, FB; Hossman, MY; Bunyok, A; Abd Rahman, MY; Sakai, S; Meleng, P",Increased seed predation in the second fruiting event during an exceptionally long period of community-level masting in Borneo,ECOLOGICAL RESEARCH,2017,English,WILEY,Malaysia,32,4,537,545,,http://dx.doi.org/10.1007/s11284-017-1465-0,Coleoptera
Journal Article,"Iku, A; Itioka, T; Shimizu-Kaya, U; Kishimoto-Yamada, K; Meleng, P",Differences in the fruit maturation stages at which oviposition occurs among insect seed predators feeding on the fruits of five dipterocarp tree species,ENTOMOLOGICAL SCIENCE,2018,English,WILEY,Malaysia,21,4,412,422,,http://dx.doi.org/10.1111/ens.12320,Coleoptera
Journal Article,"ITOH, A; YAMAKURA, T; OGINO, K; LEE, HS","SURVIVORSHIP AND GROWTH OF SEEDLINGS OF 4 DIPTEROCARP SPECIES IN A TROPICAL RAIN-FOREST OF SARAWAK, EAST MALAYSIA",ECOLOGICAL RESEARCH,1995,English,BLACKWELL SCIENCE PUBL AUSTR,Malaysia,10,3,327,338,,http://dx.doi.org/10.1007/BF02347859,"Coleoptera, Lepidoptera"
Journal Article,"Junker, RR; Itioka, T; Bragg, PE; Blüthgen, N",Feeding preferences of phasmids (Insecta: Phasmida) in a Bornean dipterocarp forest,RAFFLES BULLETIN OF ZOOLOGY,2008,English,"NATL UNIV SINGAPORE, SCHOOL BIOLOGICAL SCIENCES",Malaysia,56,2,445,452,,,Phasmatodea
Journal Article,"Kalshoven, L. G. E. ",Notes on the habits and ecology of Indonesian forest insects of minor importance III. Curculionidae,Entomologische Berichten,1956,English,,Indonesia,16,,,,,,Coleoptera
Journal Article,"Kirton, LG; Cheng, S",Ring-barking and root debarking of dipterocarp saplings by termites in an enrichment planting site in Malaysia,JOURNAL OF TROPICAL FOREST SCIENCE,2007,English,FOREST RESEARCH INST MALAYSIA,Malaysia,19,2,67,72,,,Blattodea
Journal Article,"Kumata , T.","Descriptions of thirteen new species of the genus Chrysocercops Kumata et Kuroko, 1988, from malaysia and Nepal (Lepidoptera: Gracillariidae)",Insecta Matsumurana New Series,1992,English,,Malaysia,46,,73,131,,,Lepidoptera
Journal Article,"Lelana,NE; Utami, S; Darmawan, UW; Nuroniah,HS; Darwo; Asmaliyah; Haneda, NF; Ariana; Darwiati,W; Anggraeni,I.","Bagworms in Indonesian Plantation Forest: Species Composition, Pest Status, and Factors that Contribute to Outbreaks",Diversity,2022,English,,Indonesia,14,,,,471,,Lepidoptera
Journal Article,"Lit, I.L."," First report of the family Lecanodiaspididae and other new records and notes on Philippine scale insects (Coccoidea, Hemiptera).",Philippine Entomologist,1997,English,,Philippines,11,,87,95,,,Hemiptera
Journal Article,"Longatang, KJG; Ceniza, MJC; Galgo, CR Jr.; Pogosa, JO; Peque, JO; Longatang, L.P","Assessment of Insect damage and Growth Performance of Dipterocarps Planted at rainforestation Demonstration farm at VSU, Baybay City, Leyte",INTERNATIONAL JOURNAL OF ENVIRONMENTAL AND RURAL DEVELOPMENT,2021,English,,Philippines,12,1,,,,,General
Journal Article,"Lyal, C. H. C.; Curran L. M.",Seed feeding beetles of the weevil tribe Mecysolobini (Insecta: Coleoptera: Curculionidae) developing in seeds of trees in the Dipterocarpaceae,Journal of Natural History,2000,English,,"Malaysia, Indonesia, Thailand, Laos, Vietnam, Philippines",34,,1743,1847,,,Coleoptera
Journal Article,"Lyal, C. H. C.; Curran L. M.",More than black and white: a new genus of nanophyine seed predators of Dipterocarpaceae and a review of Meregallia Alonso-Zarazaga (Coleoptera: Curculionoidea: Nanophyidae),Journal of Natural History,2003,English,,"Indonesia, Malaysia",37,,,,,,Coleoptera
Journal Article,"Manya, M. ",Inventarisasi Serangan Hama Anakan Meranti Merah (Shorea selanica) di Lokasi CIMTROP Universitas Palangka Raya Kalimantan Tengah.,Agrisilvika: Jurnal Ilmu-Ilmu Pertanian,2017,English (Abstract),,Indonesia,1,1,6,13,,,"Lepidoptera, Orthoptera"
Journal Article,"Messer, AC; Wanta, NN; Sunjaya","Biological and Ecological Studies of Calliteara cerigoides (Lepidoptera, Lymantriidae), a Polyphagous Defoliator of Southeast Asian Dipterocarpaceae",Japan Journal of Entomology,1992,English,,Indonesia,60,1,191,202,,,Lepidoptera
Journal Article,"Mondal, H.; Rojo, MJA","Arthropods associated with Dipterocarp saplings at Eco-park conservation area, Los Banos, Laguna, Philippines",JOURNAL OF ENTOMOLOGY AND ZOOLOGY STUDIES,2017,English,,Philippines,5,6,929,934,,,General
Technical Bulletin,"MORIMOTO, K.; RAROS RS",Forest and forest pest Products pest problems in the Philippines,Technical Bulletin 10,1977,English,"Okumura Printing Co., Ltd.,",Philippines,,,,,30,,Coleoptera
Journal Article,"Nakagawa, M; Itioka, T; Momose, K; Yumoto, T; Komai, F; Morimoto, K; Jordal, BH; Kato, M; Kaliang, H; Hamid, AA; Inoue, T; Nakashizuka, T",Resource use of insect seed predators during general flowering and seeding events in a Bornean dipterocarp rain forest,BULLETIN OF ENTOMOLOGICAL RESEARCH,2003,English,CAMBRIDGE UNIV PRESS,Malaysia,93,5,455,466,,http://dx.doi.org/10.1079/BER2003257,"Coleoptera, Lepidoptera"
Book Chapter,"Nakagawa M, Itioka T, Momose K, Nakashizuka T.",Insect Predators of Dipterocarp Seeds,,2005,English,SPRINGER,Malaysia,,,,,,https://doi.org/10.1007/0-387-27161-9_13,
Journal Article,"Nakagawa, M; Takeuchi, Y; Kenta, T; Nakashizuka, T","Predispersal seed predation by insects vs. vertebrates in six dipterocarp species in Sarawak, Malaysia",BIOTROPICA,2005,English,WILEY,Malaysia,37,3,389,396,,http://dx.doi.org/10.1111/j.1744-7429.2005.00051.x,"Coleoptera, Lepidoptera"
Journal Article,"Natawiria, D., Kosasih, A.S. and Mulyana, A.D",Some insect pests of dipterocarp seeds (in East Kalimantan and Java).,"Buletin Penelitian Hutan, Pusat Penelitian dan Pengembangan Hutan ",1986,English,,Indonesia,472,,1,8,,,"Coleoptera, Lepidoptera"
Journal Article,"Ng, C.H., Ng, K.K.S., Lee, S.L., Suwa, R., Lee, C,T,, & Tnah, L.H.",Growth performance and scale insect infestation of Shorea leprosula in a common garden experimental plot,Journal of Forestry Research,2022,English,,Malaysia,,,,,,doi.org/10.1007/s11676-022-01510-4,Hemiptera
Journal Article,"Ngatiman; Fernandes, A.",Coptotermes sp. Termite Attacks in Some Locations of Red Meranti,KNE LIFE SCIENCES,2017,English,,Indonesia,,,141,146,,,Blattodea
Journal Article,"Normark, B.B., Okusu, A., Morse, G.E., Peterson, D.A., Itioka, T., & Schneider, S.A.",Phylogeny and classification of armored scale insects (Hemiptera: Coccomorpha: Diaspididae). ,Zootaxa,2019,English,,Malaysia,4616,1,1,98,,,Hemiptera
Report,"Ong, SP; ng, KSS; Ng, CH; Lee, SL",Insect Pest of Shorea leprosula (Dipterocarpaceae; Meranti Tembaga),FRIM Technical Information,2020,English,,Malaysia,85,,,,8,,"Lepidoptera, Hemiptera, Coleoptera"
Journal Article,"Oramahi, H. A., & Wulandari, R. S.",Identifikasi Morfologi Serangga Berpotensi Sebagai Hama Dan Tingkat Kerusakan Pada Bibit Meranti Merah (Shorea Leprosula) Di Persemaian Pt. Sari Bumi Kusuma,"Jurnal Hutan Lestari,",2017,English (Abstract),,Indonesia,5,3,644,652,,,Lepidoptera
Journal Article,"Peterson, D.A., Hardy, N.B., Morse, G.E., Itioka, T., Wei, J., & Normark, B.B",Nonadaptive host-use specificity in tropical armored scale insects.,Ecol Evol,2020,English,,Malaysia,10,,12910,12919,,https://doi.org/10.1002/ece3.6867,Hemiptera
Proceedings Paper,"Rahayu, S.; Subyanto, S.; Kuswanto, K.","The occurrence of pest and disease of Shorea spp.: A preliminary study in Wanariset and Bukit Soeharto Forest Area in East Kalimantan, Indonesi","In: Proceedings of the Seminar on Ecological Approach for Productivity and Sustainability of Dipterocarp Forests, Yogyakarta, Indonesia, 7–8 July 1998",1998,English,"Sabarnudin, H.M.S., Suhardi, S., Okimori, Y., Eds.; Gajah Mada University and Kansai Environmental Engineering Center: Yogyakarta, Indonesia, ",Indonesia,,,53,57,,,"Lepidoptera, Hemiptera"
Database,"ROBINSON, G. S., ACKERY, P. R., KITCHING, I. J., BECALLONI,
 G. W. &HERN´ ANDEZ, M.",HOSTS - a Database of the World's Lepidopteran Hostplants,,2025,English,,Southeast Asia,,,,,,,Lepidoptera
Journal Article,"SUN, I.-F., CHEN, Y.-Y., HUBBELL, S.P., WRIGHT, S.J. and NOOR, N.S.M. ",Seed predation during general flowering events of varying magnitude in a Malaysian rain forest,Journal of Ecology,2007,English,,Malaysia,95,,818,827,,https://doi.org/10.1111/j.1365-2745.2007.01235.x,Coleoptera
Journal Article,"Takagi, S.","Four gall-inducing Eriococcidae, with notes on dipterocarp-associated gall-inhabiting cocco ids (Homoptera: Coccoidea: Eriococcidae and Beesoniidae)", Insecta Matsumurana New Series,2001,English,,"Singapore, Malaysia",58,,51,113,,,Hemiptera
Journal Article,"Takagi, S.","Further material of Cameronaspis, with other forms (Homoptera: Coccoidea: Diaspididae).", Insecta Matsumurana New Series,2005,English,,Malaysia,62,,153,174,,,Hemiptera
Journal Article,"Takagi, S.","The gall-inducing coccoid family Beesoniidae (Hemiptera): facts, speculations, and perspectives.",riental Insects,2007,English,,"Malaysia, Myanmar, Singapore",41,1,67,91,,http://dx.doi.org/10.1080/00305316.2007.10417500,Hemiptera
Journal Article,"Takagi, S.",Some species of Aulacaspis related to mangrove-associated Australian species (Sternorrhyncha: Coccoidea: Diaspididae)., Insecta Matsumurana New Series,2013,English,,Malaysia,69,,41,95,,,Hemiptera
Journal Article,"Takagi, S.","A new species of Beesonia with larval polymorphism, inducing a stem gall on Shorea curtisii in Singapore [Homoptera: Coccoidea: Beesoniidae]",Insecta Matsumurana (New Series),1995,English,,Singapore,52,,1,19,,,Hemiptera
Journal Article,"Takagi, S. and Hodgson, C. J.",A new dipterocarp-associated gall-inhabiting coccoid from Borneo (Homoptera: Coccoidea: Beesoniidae)., Insecta Matsumurana New Series,2005,English,,Malaysia,61,,11,41,,,Hemiptera
Journal Article,"Takagi, S; Hosaka, T; Okuda, T.","Material of Dipterocarp-Associated gall-inhabiting coccoids collected in negeri Sembilan, Malaya (Homoptera: Coccoidea)", Insecta Matsumurana New Series,2005,English,,Malaysia,62,,123,151,,,Hemiptera
Journal Article,"Takahashi, R.",Some injurious insects of agricultural plants and forest trees in Thailand and Indo-China. II. Coccidae.,Formosa ,1942,English,Report. Government Research Institute. Department of Agriculture,"Thailand, Cambodia",81,,1,56,,,Hemiptera
Journal Article,"Thapa, R.S. ","Observations on the cerambycid borer Cyriopalus wallacei Pasc. (Coleoptera, Cerambycidae) in dipterocarp forests of Sabah, East Malaysia",THE MALAYAN FORESTER,1968,English,,Malaysia,31,4,348,355,,,Coleoptera
Report,"Thapa, R.S. ",The biology and ecology of the borer Cyriopalus wallacei Pasc. ,Sabah Forest Record No. 15.,1974,English,"Sabah Forest 
Department",Malaysia,,,,,33,,Coleoptera
Proceedings Paper,"Tho, Y.P. and Norhara, H.",On insects associated with kapur (Dryobalanops aromatica) and their status.,,1983,English,"BIOTROP Special Publication no. 2. SEAMEO-BIOTROP, Bogor, Indonesia",Malaysia,,,181,192,,,Hemiptera ?
Journal Article,"Toy, R. J. ",Interspecific flowering patterns in the Dipterocarpaceae in West Malaysia: implications for predator satiation.,Journal of Tropical Ecology,1991,English,,Malaysia,,7,49,57,,,Coleoptera
Journal Article,"Toy, RJ & J. S. TOY","Oviposition preferences and egg survival in Nanophyes shoreae (Coleoptera, Apionidae), a weevil fruit-predator in South-east Asian rain forest.",Journal of Tropical Ecology,1992,English,,Malaysia,8,,195,203,,,Coleoptera
Journal Article,"TOY, RJ; MARSHALL, AG; PONG, TY",FRUITING PHENOLOGY AND THE SURVIVAL OF INSECT FRUIT PREDATORS - A CASE-STUDY FROM THE SOUTH-EAST ASIAN DIPTEROCARPACEAE,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,1992,English,ROYAL SOC,Malaysia,335,1275,417,423,,http://dx.doi.org/10.1098/rstb.1992.0033,Coleoptera
Journal Article,"Vu, NT; Eastwood, R; Burckhardt, D","Life history, damage assessment and control of Trioza hopeae (Hemiptera: Psylloidea), a serious pest on Hopea odorata (Malvales: Dipterocarpaceae) in Vietnam",ENTOMOLOGICAL RESEARCH,2012,English,WILEY-BLACKWELL,Vietnam,42,1,11,18,,http://dx.doi.org/10.1111/j.1748-5967.2011.00354.x,Hemiptera
Journal Article,"Williams, D.J.",Mealybugs of Southern Asia: some errors and omissions.,Entomologist's Monthly Magazine ,2005,English,,Singapore,141,,167,168,,,Hemiptera
Report,"Ying Fah, L., Mohammad, A., & Chung , A.Y.C.",A guide to plantation forestry in Sabah,Sabah Forest Record No. 16.,2008,English,Sabah Forest  Department,Malaysia,,,,,23,,"Coleoptera, Blattodea"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
